Ticker,TotalScore,Date,Rank
AAPL,46.83601098702695,2026-01-08,224.0
ABBV,34.26817898762556,2026-01-08,307.0
ABNB,55.83714037509768,2026-01-08,92.0
ACN,53.10041688741957,2026-01-08,129.0
ADBE,59.36120406146217,2026-01-08,64.0
ADM,39.27195534507519,2026-01-08,291.0
ADP,49.27262508117515,2026-01-08,184.0
ADSK,45.69198975501162,2026-01-08,237.0
AJG,51.737987431535885,2026-01-08,148.0
AKAM,47.95094833217208,2026-01-08,203.0
ALGN,44.74997073681745,2026-01-08,252.0
ALLE,63.296493485470705,2026-01-08,30.0
AMAT,54.937672049010864,2026-01-08,105.0
AMD,47.91970430343811,2026-01-08,204.0
AME,54.13321820205068,2026-01-08,115.0
AMGN,58.068335509860255,2026-01-08,74.0
AMZN,50.407334005379354,2026-01-08,164.0
ANET,58.99556117497259,2026-01-08,68.0
AON,49.75950798735074,2026-01-08,178.0
AOS,55.68347629476146,2026-01-08,94.0
APA,62.48853334675084,2026-01-08,34.0
APH,54.198324353928996,2026-01-08,113.0
APO,57.8087584102889,2026-01-08,77.0
APP,57.342966219019715,2026-01-08,82.0
APTV,51.02850112451703,2026-01-08,154.0
AVB,54.05881827042585,2026-01-08,117.0
AVGO,63.470714940662525,2026-01-08,26.0
AVY,47.20544966179788,2026-01-08,218.0
AXON,46.33397537566703,2026-01-08,234.0
AZO,48.30626092374486,2026-01-08,200.0
A,47.32904455749005,2026-01-08,216.0
BDX,52.48543993291611,2026-01-08,135.0
BF.B,45.41105505987071,2026-01-08,241.0
BKNG,64.67543056024292,2026-01-08,22.0
BKR,57.39082358914976,2026-01-08,81.0
BLK,38.71762662007227,2026-01-08,297.0
BRO,59.308419692809636,2026-01-08,65.0
BR,49.188760379227276,2026-01-08,186.0
BSX,52.228633617210136,2026-01-08,141.0
CAG,39.26947447450003,2026-01-08,292.0
CAH,46.940646891605816,2026-01-08,222.0
CARR,46.394254262594856,2026-01-08,233.0
CAT,53.57476459020967,2026-01-08,125.0
CBOE,50.00267943872798,2026-01-08,173.0
CBRE,61.120382100942386,2026-01-08,47.0
CCI,37.219657298734035,2026-01-08,303.0
CCL,59.609259274177305,2026-01-08,59.0
CDNS,51.12355515591743,2026-01-08,153.0
CDW,38.61068243212057,2026-01-08,299.0
CHD,51.73667603727892,2026-01-08,149.0
CL,60.25162859279445,2026-01-08,51.0
CMCSA,52.31038041036837,2026-01-08,139.0
CME,46.629847169128325,2026-01-08,226.0
CMG,55.100913353036816,2026-01-08,102.0
CMI,65.84928254729569,2026-01-08,16.0
COO,46.83473534910516,2026-01-08,225.0
COP,50.2378511104861,2026-01-08,166.0
COR,49.14872682358197,2026-01-08,187.0
COST,57.61167853636274,2026-01-08,79.0
CPAY,62.14349353531758,2026-01-08,37.0
CPB,53.44242862550663,2026-01-08,126.0
CPRT,59.81057523241006,2026-01-08,57.0
CPT,44.62083072619225,2026-01-08,253.0
CRH,52.42332314032269,2026-01-08,136.0
CRL,40.34103590950274,2026-01-08,288.0
CRM,52.558590994101124,2026-01-08,134.0
CRWD,42.821277701693276,2026-01-08,268.0
CSCO,47.72905222275614,2026-01-08,211.0
CSX,43.643559345043286,2026-01-08,261.0
CTAS,55.145486109731635,2026-01-08,101.0
CTRA,64.46619048047062,2026-01-08,23.0
CTSH,53.906386316999615,2026-01-08,121.0
CTVA,49.940625400441185,2026-01-08,176.0
CVNA,27.774342596356036,2026-01-08,312.0
CVX,47.76295416763412,2026-01-08,209.0
DAL,61.13781038813046,2026-01-08,46.0
DASH,45.58418866504137,2026-01-08,238.0
DAY,44.87317044397018,2026-01-08,248.0
DECK,69.88315813389003,2026-01-08,9.0
DHI,43.011416612250656,2026-01-08,267.0
DIS,47.980049644634214,2026-01-08,202.0
DOC,41.75245902319547,2026-01-08,279.0
DPZ,46.40796525759151,2026-01-08,232.0
DRI,51.883495483104085,2026-01-08,144.0
DUK,54.58760408742461,2026-01-08,109.0
DVA,42.703302571731754,2026-01-08,271.0
DXCM,54.83967226038543,2026-01-08,107.0
EA,49.20101082138845,2026-01-08,185.0
ECL,54.06824752669894,2026-01-08,116.0
EFX,32.42257843978055,2026-01-08,309.0
EME,63.24392092666194,2026-01-08,32.0
EMR,51.81246012467041,2026-01-08,145.0
EOG,59.58704968962175,2026-01-08,60.0
EPAM,54.255534154712706,2026-01-08,112.0
EQIX,42.118542580784556,2026-01-08,277.0
EQR,47.78025413152788,2026-01-08,208.0
ERIE,63.335185622906195,2026-01-08,28.0
ESS,49.54732770625709,2026-01-08,181.0
ETN,50.10268000865748,2026-01-08,172.0
EW,42.38083587690756,2026-01-08,273.0
EXPE,59.425372651300975,2026-01-08,62.0
EXR,57.94505061985297,2026-01-08,76.0
FAST,55.635244809213916,2026-01-08,95.0
FCX,45.89146944097585,2026-01-08,236.0
FDS,57.79873064603393,2026-01-08,78.0
FFIV,56.70324633395751,2026-01-08,88.0
FICO,52.24080000521151,2026-01-08,140.0
FIS,39.21136302539263,2026-01-08,294.0
FIX,63.39042336293301,2026-01-08,27.0
FOXA,61.907892475458524,2026-01-08,38.0
FOX,63.31623155922679,2026-01-08,29.0
FRT,49.11058600562685,2026-01-08,188.0
FTNT,59.90156433562954,2026-01-08,55.0
FTV,42.354026588466894,2026-01-08,274.0
GDDY,47.887841383196566,2026-01-08,206.0
GD,54.609333037148694,2026-01-08,108.0
GEHC,51.004957408377315,2026-01-08,155.0
GEN,47.56345711718841,2026-01-08,215.0
GEV,28.147716125086703,2026-01-08,311.0
GIS,47.740949934830695,2026-01-08,210.0
GNRC,43.135640056659305,2026-01-08,266.0
GOOGL,68.52404967939172,2026-01-08,13.0
GOOG,67.2490801779964,2026-01-08,15.0
GPC,45.020572509641255,2026-01-08,247.0
GPN,44.751732890548915,2026-01-08,251.0
GRMN,55.56931851611299,2026-01-08,97.0
GWW,59.9907799835616,2026-01-08,54.0
HAL,59.51236143071964,2026-01-08,61.0
HCA,53.92128014109786,2026-01-08,120.0
HD,41.51266025273175,2026-01-08,281.0
HII,49.88456502355862,2026-01-08,177.0
HLT,57.44682824492241,2026-01-08,80.0
HON,46.49766029595513,2026-01-08,229.0
HPE,42.06806013822325,2026-01-08,278.0
HSIC,43.44400692744475,2026-01-08,262.0
HST,70.11100523095264,2026-01-08,8.0
HSY,60.976134625715446,2026-01-08,48.0
HUBB,60.826203681142296,2026-01-08,49.0
HWM,56.783319132454324,2026-01-08,86.0
IBKR,53.031489382666415,2026-01-08,130.0
IBM,39.21835348373286,2026-01-08,293.0
ICE,42.79118689980188,2026-01-08,269.0
IDXX,53.73625115362337,2026-01-08,123.0
IEX,47.57551931999852,2026-01-08,214.0
INCY,76.56857230601506,2026-01-08,2.0
INTU,52.68454393642676,2026-01-08,132.0
INVH,44.822561364155234,2026-01-08,249.0
IQV,45.360614864257606,2026-01-08,242.0
IR,45.21456621022586,2026-01-08,245.0
ISRG,54.91081335324097,2026-01-08,106.0
ITW,50.20007224637964,2026-01-08,170.0
IT,50.70798388787112,2026-01-08,158.0
JCI,42.18874206311407,2026-01-08,276.0
JKHY,47.29360030793001,2026-01-08,217.0
JNJ,58.402178505615,2026-01-08,72.0
J,47.70487679058114,2026-01-08,212.0
KDP,55.26973250837754,2026-01-08,99.0
KKR,41.440972143897895,2026-01-08,282.0
KLAC,56.669491620320734,2026-01-08,89.0
KMB,55.02499929244832,2026-01-08,103.0
KO,59.81677350835729,2026-01-08,56.0
KR,43.684327465639825,2026-01-08,260.0
KVUE,39.19522915172892,2026-01-08,295.0
LDOS,62.29750240841028,2026-01-08,36.0
LEN,48.31405731654804,2026-01-08,199.0
LHX,42.456947984333084,2026-01-08,272.0
LII,63.72270867266096,2026-01-08,24.0
LIN,49.504596997137384,2026-01-08,182.0
LLY,65.2912190511135,2026-01-08,17.0
LMT,49.65286834295193,2026-01-08,180.0
LNT,53.90112156873492,2026-01-08,122.0
LRCX,52.71755102040816,2026-01-08,131.0
LULU,67.802916156804,2026-01-08,14.0
LVS,56.0596043218384,2026-01-08,90.0
LYV,47.65018714976869,2026-01-08,213.0
MAA,47.17699662548968,2026-01-08,219.0
MAR,62.439437486501106,2026-01-08,35.0
MA,63.13028427605287,2026-01-08,33.0
MCD,43.24753451907094,2026-01-08,265.0
MCK,54.562441931587124,2026-01-08,110.0
MCO,41.66794791846795,2026-01-08,280.0
MDLZ,56.89670464036249,2026-01-08,85.0
MDT,43.36217030690698,2026-01-08,264.0
META,61.317686383410425,2026-01-08,43.0
MKC,41.32136674772853,2026-01-08,284.0
MLM,43.780904781873694,2026-01-08,259.0
MMC,50.76171210769872,2026-01-08,157.0
MNST,68.89381495577702,2026-01-08,12.0
MOH,64.96176405096244,2026-01-08,20.0
MPC,40.63333532370332,2026-01-08,286.0
MPWR,63.497501819401826,2026-01-08,25.0
MRK,74.68877354860298,2026-01-08,3.0
MSCI,55.780012871659935,2026-01-08,93.0
MSFT,58.03552294800037,2026-01-08,75.0
MSI,54.973253354028515,2026-01-08,104.0
MTCH,55.87298211599142,2026-01-08,91.0
MTD,50.20762831357952,2026-01-08,168.0
MU,65.0473469387755,2026-01-08,19.0
NCLH,58.56009749543506,2026-01-08,71.0
NDAQ,44.07900545299241,2026-01-08,256.0
NDSN,46.88886648909687,2026-01-08,223.0
NEE,53.959609713289154,2026-01-08,118.0
NEM,81.82047147619929,2026-01-08,1.0
NFLX,50.33771432216342,2026-01-08,165.0
NOC,50.68129151962672,2026-01-08,159.0
NOW,49.965117545440975,2026-01-08,175.0
NRG,61.2381330911786,2026-01-08,44.0
NSC,34.04457408312158,2026-01-08,308.0
NTAP,44.813117657871935,2026-01-08,250.0
NVDA,71.89623028483389,2026-01-08,6.0
NVR,58.28531267971419,2026-01-08,73.0
NXPI,48.405914493073595,2026-01-08,197.0
ODFL,50.20596200820539,2026-01-08,169.0
OKE,45.08438626340679,2026-01-08,246.0
OMC,48.71918800305095,2026-01-08,194.0
ON,38.44808422526238,2026-01-08,300.0
ORLY,50.22049946259938,2026-01-08,167.0
OXY,29.295277876442995,2026-01-08,310.0
PANW,50.43220001283554,2026-01-08,163.0
PAYC,61.773690320373376,2026-01-08,40.0
PAYX,51.29639580204823,2026-01-08,152.0
PCAR,59.41190763956144,2026-01-08,63.0
PEP,48.87245774275057,2026-01-08,192.0
PG,52.6126413891968,2026-01-08,133.0
PHM,61.75131873587508,2026-01-08,41.0
PH,53.58484073121046,2026-01-08,124.0
PKG,61.157245937732355,2026-01-08,45.0
PLD,46.616941008045664,2026-01-08,227.0
PLTR,54.16453677102572,2026-01-08,114.0
PM,61.87259097278614,2026-01-08,39.0
PNR,46.42460638173032,2026-01-08,231.0
PODD,48.99374468592716,2026-01-08,190.0
POOL,40.715675249540894,2026-01-08,285.0
PSA,69.19304319689172,2026-01-08,10.0
PSKY,37.90991309303583,2026-01-08,302.0
PSX,47.17688126012819,2026-01-08,220.0
PTC,56.89981626847923,2026-01-08,84.0
PWR,46.04530262724409,2026-01-08,235.0
PYPL,50.566547986110365,2026-01-08,161.0
QCOM,51.80417041452226,2026-01-08,146.0
RCL,59.11627379881954,2026-01-08,66.0
REG,48.55468311425579,2026-01-08,196.0
RL,43.94837611081998,2026-01-08,257.0
RMD,64.75752870166653,2026-01-08,21.0
ROK,35.44335016492358,2026-01-08,306.0
ROL,56.75384306989669,2026-01-08,87.0
ROP,46.55930405554052,2026-01-08,228.0
ROST,48.134447650750836,2026-01-08,201.0
RSG,45.50618659817162,2026-01-08,240.0
RTX,42.771747979695284,2026-01-08,270.0
SBUX,35.91239180639451,2026-01-08,304.0
SHW,51.56733239815934,2026-01-08,151.0
SJM,50.555517063485475,2026-01-08,162.0
SLB,69.18996306551786,2026-01-08,11.0
SNA,60.172916128983346,2026-01-08,52.0
SNPS,45.35528521341931,2026-01-08,243.0
SOLV,51.74803232344045,2026-01-08,147.0
SO,48.94069286183161,2026-01-08,191.0
SPGI,59.0221244636217,2026-01-08,67.0
SPG,52.34026534255732,2026-01-08,138.0
STE,53.3409641203937,2026-01-08,128.0
SWK,39.94461426237002,2026-01-08,289.0
SW,60.79555310588577,2026-01-08,50.0
SYK,52.42179463399317,2026-01-08,137.0
SYY,51.6587185887628,2026-01-08,150.0
TAP,49.02111708525715,2026-01-08,189.0
TDY,47.81037273880583,2026-01-08,207.0
TECH,39.10528593803505,2026-01-08,296.0
TEL,44.57931284749326,2026-01-08,254.0
TGT,45.3505535593208,2026-01-08,244.0
TJX,48.56689509408105,2026-01-08,195.0
TKO,45.57496587660923,2026-01-08,239.0
TMO,48.34939796649151,2026-01-08,198.0
TMUS,38.378449441296816,2026-01-08,301.0
TPL,71.66921950846277,2026-01-08,7.0
TRMB,35.76050205082321,2026-01-08,305.0
TSCO,44.40266076338654,2026-01-08,255.0
TSLA,40.474226868226665,2026-01-08,287.0
TSN,39.620975007832335,2026-01-08,290.0
TT,55.282573193422934,2026-01-08,98.0
TXT,47.17637402404099,2026-01-08,221.0
TYL,42.345833506917685,2026-01-08,275.0
UAL,60.14872569285669,2026-01-08,53.0
UBER,73.35568650804512,2026-01-08,4.0
UHS,58.8980670010026,2026-01-08,69.0
ULTA,65.19013172763391,2026-01-08,18.0
UNH,54.3168010222525,2026-01-08,111.0
UNP,49.66694061645397,2026-01-08,179.0
URI,63.25969196368838,2026-01-08,31.0
VICI,72.40016639066802,2026-01-08,5.0
VLO,41.436013928141264,2026-01-08,283.0
VLTO,46.48270947247945,2026-01-08,230.0
VMC,48.789800617527625,2026-01-08,193.0
VRSK,50.00102324773589,2026-01-08,174.0
VRSN,55.14653864722432,2026-01-08,100.0
VST,58.562957076085056,2026-01-08,70.0
VZ,43.83097636937638,2026-01-08,258.0
V,59.718396819935684,2026-01-08,58.0
WAB,53.94063245006479,2026-01-08,119.0
WAT,50.64271075525047,2026-01-08,160.0
WBD,61.470588235294116,2026-01-08,42.0
WDAY,47.89281759850433,2026-01-08,205.0
WEC,52.110104065804,2026-01-08,143.0
WMT,50.934857715141696,2026-01-08,156.0
WM,38.68352888811865,2026-01-08,298.0
WST,43.392903509331596,2026-01-08,263.0
XOM,53.41129705190759,2026-01-08,127.0
XYL,52.21288218489094,2026-01-08,142.0
XYZ,55.58430474034317,2026-01-08,96.0
YUM,50.16987849243247,2026-01-08,171.0
ZBH,49.50454423434202,2026-01-08,183.0
ZTS,57.21544810981727,2026-01-08,83.0
